submission_id,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,task
5291,33,,Graduated College,49036,1679404673739,1679404624703,male,"beast, unreliable",English,63ed368131249e47a4661f23,6419ae4714693c4b98eb04a9,6419aa88c17f2fd3af1504ac,Hire more police,24891,solution
5291,33,,Graduated College,49036,1679404673739,1679404624703,male,"beast, unreliable",English,63ed368131249e47a4661f23,6419ae4714693c4b98eb04a9,6419aa88c17f2fd3af1504ac,3,3979,reliability
5291,33,,Graduated College,49036,1679404673739,1679404624703,male,"beast, unreliable",English,63ed368131249e47a4661f23,6419ae4714693c4b98eb04a9,6419aa88c17f2fd3af1504ac,Republican,2280,affiliation
5296,27,,Graduated College,57095,1679405413544,1679405356449,female,"beast, unreliable",English,60a6c78720fb46c16a21ab1e,6419b12824de203c1e04584a,6419aa88c17f2fd3af1504ac,It needs to fix whatever systemic issues it has causing the crime to increase.,31512,solution
5296,27,,Graduated College,57095,1679405413544,1679405356449,female,"beast, unreliable",English,60a6c78720fb46c16a21ab1e,6419b12824de203c1e04584a,6419aa88c17f2fd3af1504ac,2,5319,reliability
5296,27,,Graduated College,57095,1679405413544,1679405356449,female,"beast, unreliable",English,60a6c78720fb46c16a21ab1e,6419b12824de203c1e04584a,6419aa88c17f2fd3af1504ac,neither,2553,affiliation
5298,33,,Graduated College,106746,1679405543621,1679405436875,male,"virus, unreliable",English,5b60c3376a4e130001513128,6419b177355841cbad119729,6419aa88c17f2fd3af1504ac,"Support social programs and initiatives that get people out of bad situations, poverty, addiction, etc. He can also join his local neighborhood watch, if one exists, or look to form one if it does not.",81789,solution
5298,33,,Graduated College,106746,1679405543621,1679405436875,male,"virus, unreliable",English,5b60c3376a4e130001513128,6419b177355841cbad119729,6419aa88c17f2fd3af1504ac,4,3911,reliability
5298,33,,Graduated College,106746,1679405543621,1679405436875,male,"virus, unreliable",English,5b60c3376a4e130001513128,6419b177355841cbad119729,6419aa88c17f2fd3af1504ac,neither,3298,affiliation
5292,22,,Graduated College,145780,1679404791748,1679404645968,female,"virus, unreliable",English,60fd9174283e5345ad7fb00c,6419ae606a54bff3ef67d210,6419aa88c17f2fd3af1504ac,"Locate the root source of the crime, and initiate public programs to target these sources. For example, if drug use is prevalent in a community, start outreach programs that target users before they begin, or help addicts safely get clean and sober. For violent crimes, increase the level of punishment in order to deter others from committing the same crime.",121040,solution
5292,22,,Graduated College,145780,1679404791748,1679404645968,female,"virus, unreliable",English,60fd9174283e5345ad7fb00c,6419ae606a54bff3ef67d210,6419aa88c17f2fd3af1504ac,4,3559,reliability
5292,22,,Graduated College,145780,1679404791748,1679404645968,female,"virus, unreliable",English,60fd9174283e5345ad7fb00c,6419ae606a54bff3ef67d210,6419aa88c17f2fd3af1504ac,Democrat,1651,affiliation
5307,42,,Higher degree,71889,1679406120292,1679406048403,female,"virus, unreliable",English,60d7d5dc074e8bc367732eb6,6419b3dbadf1d637500bbd92,6419aa88c17f2fd3af1504ac,figure out the root causes and address them. Is it drugs? Is it that people do not have jobs? what is the underlying issue and fix that,40494,solution
